Year,Warner Bros,Walt Disney,20th Century Fox,Paramount Pictures,Sony Pictures,Universal,Total Major 6,Total Other Studios
2018,21,10,13,9,15,22,90,53
2017,18,8,13,10,15,15,79,46
2016,17,12,15,12,15,22,93,43
2015,22,11,17,9,12,21,92,28
2014,17,12,16,10,17,15,87,31
2013,17,8,15,8,14,16,78,44
2012,16,11,15,13,18,17,90,41
2011,20,13,15,13,21,19,101,34
2010,20,11,18,12,16,16,93,29
2009,25,13,20,10,21,21,110,31
2008,19,11,22,14,19,19,104,44
2007,30,12,17,16,22,21,118,50
2006,26,17,25,13,26,21,128,29
2005,21,20,19,12,19,17,108,28
2004,26,25,17,14,15,15,112,21
2003,28,18,12,14,19,14,105,22
2002,32,23,15,16,20,13,119,17
2001,30,16,15,14,16,11,102,24
2000,28,23,13,12,14,12,102,23
1999,27,20,15,13,22,16,113,20
1998,28,22,11,11,20,16,108,21
1997,31,22,12,17,22,11,115,22
1996,31,24,13,16,24,13,121,23
1995,27,23,11,12,20,17,110,28